episode,step,reward,score,length,epsilon,loss
257,7996,1.9000000000000012,0,30,0.924038,6.290554301813245e-05
258,8030,2.3000000000000016,0,34,0.9237150000000001,0.0008888723677955568
259,8059,1.8000000000000012,0,29,0.9234395,0.00023777612659614533
260,8092,2.2000000000000015,0,33,0.923126,0.0005395961343310773
261,8122,1.9000000000000012,0,30,0.922841,0.000628124107606709
262,8151,1.8000000000000012,0,29,0.9225655,0.0005941827548667789
263,8183,2.1000000000000014,0,32,0.9222615,0.0006538764573633671
264,8214,2.0000000000000013,0,31,0.921967,0.00042900460539385676
265,8244,1.9000000000000012,0,30,0.921682,0.0002556414401624352
266,8275,2.0000000000000013,0,31,0.9213875,0.0005379868089221418
267,8306,2.0000000000000013,0,31,0.921093,0.0004091208102181554
268,8336,1.9000000000000012,0,30,0.920808,9.930931992130354e-05
269,8366,1.9000000000000012,0,30,0.920523,0.00040408835047855973
270,8398,2.1000000000000014,0,32,0.920219,0.0001198325480800122
271,8430,2.1000000000000014,0,32,0.919915,0.00016492462600581348
272,8461,2.0000000000000013,0,31,0.9196205,0.00027271450380794704
273,8500,2.800000000000002,0,39,0.91925,0.00028739141998812556
274,8531,2.0000000000000013,0,31,0.9189555,7.702088623773307e-05
275,8561,1.9000000000000012,0,30,0.9186705,0.00023086860892362893
276,8592,2.0000000000000013,0,31,0.918376,0.00030758502543903887
277,8623,2.0000000000000013,0,31,0.9180815,0.00012664057430811226
278,8653,1.9000000000000012,0,30,0.9177965,0.0001504156389273703
279,8687,2.3000000000000016,0,34,0.9174735,0.0003686161944642663
280,8719,2.1000000000000014,0,32,0.9171695,0.00033447289024479687
281,8753,2.3000000000000016,0,34,0.9168465,0.00037820066791027784
282,8782,1.8000000000000012,0,29,0.916571,8.318884647451341e-05
283,8812,1.9000000000000012,0,30,0.916286,0.0001571866450831294
284,8844,2.1000000000000014,0,32,0.915982,0.0002829995646607131
285,8875,2.0000000000000013,0,31,0.9156875,0.0004342177708167583
286,8906,2.0000000000000013,0,31,0.915393,0.00015086760686244816
287,8937,2.0000000000000013,0,31,0.9150985,0.0003370532067492604
288,8969,2.1000000000000014,0,32,0.9147945,0.0002033022465184331
289,9001,2.1000000000000014,0,32,0.9144905,0.0059036556631326675
290,9031,1.9000000000000012,0,30,0.9142055,0.00043754783109761775
291,9061,1.9000000000000012,0,30,0.9139205,0.00034595892066136
292,9094,2.2000000000000015,0,33,0.9136070000000001,0.0004556388594210148
293,9124,1.9000000000000012,0,30,0.913322,0.0002468399179633707
294,9153,1.8000000000000012,0,29,0.9130465,0.0016027481760829687
295,9183,1.9000000000000012,0,30,0.9127615,0.0006129593239165843
296,9215,2.1000000000000014,0,32,0.9124575,0.0004861707566305995
297,9246,2.0000000000000013,0,31,0.9121630000000001,0.00020718372252304107
298,9276,1.9000000000000012,0,30,0.911878,0.0004997259238734841
299,9307,2.0000000000000013,0,31,0.9115835,0.0005267420201562345
300,9337,1.9000000000000012,0,30,0.9112985,0.00018575221474748105
301,9368,2.0000000000000013,0,31,0.911004,0.00016908877296373248
302,9399,2.0000000000000013,0,31,0.9107095000000001,0.00010691403440432623
303,9430,2.0000000000000013,0,31,0.910415,0.00012356301886029541
304,9463,2.2000000000000015,0,33,0.9101015,0.00020467303693294525
305,9494,2.0000000000000013,0,31,0.909807,0.0003410187491681427
306,9523,1.8000000000000012,0,29,0.9095315,0.000881127780303359
307,9555,2.1000000000000014,0,32,0.9092275,0.0004073355230502784
308,9585,1.9000000000000012,0,30,0.9089425,0.0001731008233036846
309,9616,2.0000000000000013,0,31,0.908648,9.399643022334203e-05
310,9650,2.3000000000000016,0,34,0.908325,0.0003948947414755821
311,9682,2.1000000000000014,0,32,0.908021,0.0002030016912613064
312,9714,2.1000000000000014,0,32,0.907717,0.00022331600484903902
313,9746,2.1000000000000014,0,32,0.907413,0.00028670488973148167
314,9776,1.9000000000000012,0,30,0.907128,0.00030293245799839497
315,9807,2.0000000000000013,0,31,0.9068335,0.0006990090478211641
316,9838,2.0000000000000013,0,31,0.906539,9.704998228698969e-05
317,9869,2.0000000000000013,0,31,0.9062445,0.00012880902795586735
318,9900,2.0000000000000013,0,31,0.90595,0.00024696235777810216
319,9929,1.8000000000000012,0,29,0.9056745,0.000336813332978636
320,9959,1.9000000000000012,0,30,0.9053895,0.0002711947599891573
321,9993,2.3000000000000016,0,34,0.9050665,0.0001225791493197903
322,10023,1.9000000000000012,0,30,0.9047815,0.0006070318631827831
323,10054,2.0000000000000013,0,31,0.904487,0.00046581903006881475
324,10086,2.1000000000000014,0,32,0.904183,0.00027894810773432255
325,10116,1.9000000000000012,0,30,0.903898,0.00011298706522211432
326,10146,1.9000000000000012,0,30,0.903613,0.00017948650929611176
327,10175,1.8000000000000012,0,29,0.9033375,0.00013957482588011771
328,10206,2.0000000000000013,0,31,0.903043,0.00014201451267581433
329,10238,2.1000000000000014,0,32,0.902739,0.0002015533682424575
330,10269,2.0000000000000013,0,31,0.9024445,0.00029121077386662364
331,10300,2.0000000000000013,0,31,0.90215,0.00022365334734786302
332,10331,2.0000000000000013,0,31,0.9018555,5.9577250794973224e-05
333,10361,1.9000000000000012,0,30,0.9015705,0.00021183822536841035
334,10392,2.0000000000000013,0,31,0.901276,8.001836977200583e-05
335,10426,2.3000000000000016,0,34,0.900953,0.0001534095936222002
336,10456,1.9000000000000012,0,30,0.900668,0.00019745870667975396
337,10489,2.2000000000000015,0,33,0.9003545,0.00011108019680250436
338,10519,1.9000000000000012,0,30,0.9000695,0.00025585811818018556
339,10551,2.1000000000000014,0,32,0.8997655,0.00024802505504339933
340,10581,1.9000000000000012,0,30,0.8994805,6.623493391089141e-05
341,10611,1.9000000000000012,0,30,0.8991955,0.00017985861632041633
342,10645,2.3000000000000016,0,34,0.8988725,2.838486761902459e-05
343,10677,2.1000000000000014,0,32,0.8985685,0.00019845271890517324
344,10709,2.1000000000000014,0,32,0.8982645,0.0004127969150431454
345,10738,1.8000000000000012,0,29,0.897989,0.0001512864837422967
346,10771,2.2000000000000015,0,33,0.8976755,9.984266944229603e-05
347,10801,1.9000000000000012,0,30,0.8973905,0.00017463447875343263
348,10831,1.9000000000000012,0,30,0.8971055,8.541989518562332e-05
349,10861,1.9000000000000012,0,30,0.8968205,0.00024901621509343386
350,10893,2.1000000000000014,0,32,0.8965165,0.0001658157561905682
351,10923,1.9000000000000012,0,30,0.8962315000000001,0.00010113397001987323
352,10953,1.9000000000000012,0,30,0.8959465,0.00015216635074466467
353,10985,2.1000000000000014,0,32,0.8956425,1.2394517398206517e-05
354,11016,2.0000000000000013,0,31,0.895348,0.0010288830380886793
355,11046,1.9000000000000012,0,30,0.8950629999999999,0.00018463146989233792
356,11076,1.9000000000000012,0,30,0.894778,6.349413888528943e-05
357,11107,2.0000000000000013,0,31,0.8944835,0.00012619630433619022
358,11138,2.0000000000000013,0,31,0.894189,0.00013305226457305253
359,11171,2.2000000000000015,0,33,0.8938755,0.0002580188156571239
360,11202,2.0000000000000013,0,31,0.893581,0.00021158417803235352
361,11234,2.1000000000000014,0,32,0.893277,8.431174501311034e-05
362,11263,1.8000000000000012,0,29,0.8930015,0.00030872237402945757
363,11302,2.800000000000002,0,39,0.892631,0.00015481130685657263
364,11331,1.8000000000000012,0,29,0.8923555,0.00012849346967414021
365,11361,1.9000000000000012,0,30,0.8920705,0.00016117125051096082
366,11391,1.9000000000000012,0,30,0.8917855,5.291846173349768e-05
367,11424,2.2000000000000015,0,33,0.891472,8.624848123872653e-05
368,11454,1.9000000000000012,0,30,0.891187,5.90383933740668e-05
369,11485,2.0000000000000013,0,31,0.8908925,6.343751738313586e-05
370,11517,2.1000000000000014,0,32,0.8905885,7.887819083407521e-05
371,11547,1.9000000000000012,0,30,0.8903035,8.59293359098956e-05
372,11578,2.0000000000000013,0,31,0.890009,0.00018189530237577856
373,11611,2.2000000000000015,0,33,0.8896955,0.0002416589850327
374,11640,1.8000000000000012,0,29,0.88942,7.06623395672068e-05
375,11673,2.2000000000000015,0,33,0.8891065,6.787692109355703e-05
376,11706,2.2000000000000015,0,33,0.888793,7.049222767818719e-05
377,11742,2.5000000000000018,0,36,0.888451,0.00013215013314038515
378,11772,1.9000000000000012,0,30,0.888166,7.716105756117031e-05
379,11805,2.2000000000000015,0,33,0.8878525,0.00043969263788312674
380,11837,2.1000000000000014,0,32,0.8875485,9.55340001382865e-05
381,11871,2.3000000000000016,0,34,0.8872255,0.00022912322310730815
382,11901,1.9000000000000012,0,30,0.8869405,0.00010529064456932247
383,11931,1.9000000000000012,0,30,0.8866555,0.00015694710600655526
384,11961,1.9000000000000012,0,30,0.8863705,0.00035758360172621906
385,11994,2.2000000000000015,0,33,0.886057,0.00013895142183173448
386,12023,1.8000000000000012,0,29,0.8857815,0.00010996857599820942
387,12054,2.0000000000000013,0,31,0.885487,5.284986400511116e-05
388,12086,2.1000000000000014,0,32,0.885183,5.225716085988097e-05
389,12128,3.1000000000000014,0,42,0.884784,6.182013021316379e-05
390,12166,2.700000000000002,0,38,0.884423,9.309629240306094e-05
391,12196,1.9000000000000012,0,30,0.884138,0.00012086218339391053
392,12228,2.1000000000000014,0,32,0.883834,0.0002919382823165506
393,12261,2.2000000000000015,0,33,0.8835205,0.00011218003783142194
394,12293,2.1000000000000014,0,32,0.8832165,5.2181236242176965e-05
395,12324,2.0000000000000013,0,31,0.882922,7.560521771665663e-05
396,12353,1.8000000000000012,0,29,0.8826465,9.73758360487409e-05
397,12383,1.9000000000000012,0,30,0.8823615,0.000284345296677202
398,12415,2.1000000000000014,0,32,0.8820575,0.0001742864988045767
399,12446,2.0000000000000013,0,31,0.881763,0.00011427117715356871
400,12481,2.4000000000000017,0,35,0.8814305,4.340152008808218e-05
401,12513,2.1000000000000014,0,32,0.8811265,5.515692100743763e-05
402,12545,2.1000000000000014,0,32,0.8808225,0.00020711333490908146
403,12575,1.9000000000000012,0,30,0.8805375,6.0290876717772335e-05
404,12606,2.0000000000000013,0,31,0.880243,0.00016551572480238974
405,12637,2.0000000000000013,0,31,0.8799485,8.917412924347445e-05
406,12669,2.1000000000000014,0,32,0.8796445,0.000112719222670421
407,12698,1.8000000000000012,0,29,0.879369,0.00030214409343898296
408,12728,1.9000000000000012,0,30,0.879084,8.140453428495675e-05
409,12758,1.9000000000000012,0,30,0.878799,5.209033042774536e-05
410,12789,2.0000000000000013,0,31,0.8785045,7.06051432644017e-05
411,12819,1.9000000000000012,0,30,0.8782195,6.150029366835952e-05
412,12850,2.0000000000000013,0,31,0.877925,6.493969704024494e-05
413,12883,2.2000000000000015,0,33,0.8776115,0.0001204729633172974
414,12914,2.0000000000000013,0,31,0.877317,8.465054270345718e-05
415,12945,2.0000000000000013,0,31,0.8770225,0.001960678957402706
416,12976,2.0000000000000013,0,31,0.8767280000000001,9.683392272563651e-05
417,13005,1.8000000000000012,0,29,0.8764525,0.0010205036960542202
418,13037,2.1000000000000014,0,32,0.8761485,0.00018892314983531833
419,13067,1.9000000000000012,0,30,0.8758635,8.497008820995688e-05
420,13097,1.9000000000000012,0,30,0.8755785,0.00011101163545390591
421,13129,2.1000000000000014,0,32,0.8752745,6.284785195020959e-05
422,13159,1.9000000000000012,0,30,0.8749895,8.454138151137158e-05
423,13194,2.4000000000000017,0,35,0.874657,8.091384370345622e-05
424,13226,2.1000000000000014,0,32,0.874353,8.647969661979005e-05
425,13257,2.0000000000000013,0,31,0.8740585000000001,6.735255010426044e-05
426,13289,2.1000000000000014,0,32,0.8737545,4.1276445699622855e-05
427,13323,2.3000000000000016,0,34,0.8734315,0.0001311739906668663
428,13354,2.0000000000000013,0,31,0.873137,9.648694685893133e-05
429,13385,2.0000000000000013,0,31,0.8728425,4.498288399190642e-05
430,13418,2.2000000000000015,0,33,0.872529,9.43796694627963e-05
431,13451,2.2000000000000015,0,33,0.8722155,0.00043395679676905274
432,13483,2.1000000000000014,0,32,0.8719115,0.0010290518403053284
433,13516,2.2000000000000015,0,33,0.871598,0.00010469567496329546
434,13547,2.0000000000000013,0,31,0.8713035,6.481631135102361e-05
435,13578,2.0000000000000013,0,31,0.871009,5.191272066440433e-05
436,13608,1.9000000000000012,0,30,0.870724,0.0001228604232892394
437,13648,2.900000000000002,0,40,0.870344,0.00011352596629876643
438,13679,2.0000000000000013,0,31,0.8700495,4.1158273234032094e-05
439,13711,2.1000000000000014,0,32,0.8697455000000001,8.874254854163155e-05
440,13742,2.0000000000000013,0,31,0.869451,5.012109249946661e-05
441,13774,2.1000000000000014,0,32,0.869147,0.00012719057849608362
442,13807,2.2000000000000015,0,33,0.8688335,5.3660125558963045e-05
443,13837,1.9000000000000012,0,30,0.8685485,0.00010998096695402637
444,13867,1.9000000000000012,0,30,0.8682635000000001,6.236744957277551e-05
445,13898,2.0000000000000013,0,31,0.867969,0.00014714364078827202
446,13934,2.5000000000000018,0,36,0.867627,0.00012941934983246028
447,13963,1.8000000000000012,0,29,0.8673515,7.41629337426275e-05
448,13993,1.9000000000000012,0,30,0.8670665,0.000133628593175672
