episode,step,reward,score,length,epsilon,loss
86,11749,11.213386952148435,1,119,0.04686693333333333,0.003135805716738105
87,11850,7.828752015624998,0,101,0.04684,0.026688814163208008
88,11951,8.429088124023442,0,101,0.04681306666666667,0.0023004221729934216
89,12105,15.717746558593749,2,154,0.046772,0.001102292793802917
90,12214,9.180743954101558,0,109,0.046742933333333334,0.0037802879232913256
91,12315,8.018408806640627,0,101,0.046716,0.003554654773324728
92,12453,12.806468865234377,1,138,0.046679200000000004,0.18560127913951874
93,12627,17.119624613281246,2,174,0.0466328,0.003340447088703513
94,12764,12.843706703124997,1,137,0.04659626666666667,0.01634547859430313
95,12913,14.933119936523441,2,149,0.04655653333333334,0.016240308061242104
96,12975,4.649964717773437,0,62,0.046540000000000005,0.0024984977208077908
97,13115,13.234556625976563,1,140,0.04650266666666667,0.0010876667220145464
98,13216,8.319350595703126,0,101,0.04647573333333334,0.008781228214502335
99,13250,2.143159754882813,0,34,0.04646666666666667,0.0029479251243174076
100,13326,6.075089312500001,0,76,0.046446400000000006,0.003476481419056654
101,13427,8.153140994140626,0,101,0.04641946666666667,0.01690935343503952
102,13531,8.30930713183594,0,104,0.04639173333333334,0.004110713489353657
103,13632,8.419112168945315,0,101,0.046364800000000005,0.0016852933913469315
104,13733,8.174201820312504,0,101,0.04633786666666667,0.023558441549539566
105,13845,10.455978718749998,1,112,0.046308,0.01548095978796482
106,13946,8.044823557617189,0,101,0.04628106666666667,0.002219586167484522
107,14211,29.508234246093746,5,265,0.046210400000000006,0.007951609790325165
108,14355,13.126565893554691,1,144,0.046172000000000005,0.003296604845672846
109,14492,12.824589500976556,1,137,0.046135466666666666,0.001288316329009831
110,14529,2.4207569316406254,0,37,0.0461256,0.00455230288207531
111,14648,11.196973142578123,1,119,0.04609386666666667,0.01598348282277584
112,14764,10.873446928710935,1,116,0.046062933333333334,0.0040159281343221664
113,14974,21.5628455234375,3,210,0.04600693333333333,0.03585987910628319
114,15117,13.651411821289061,1,143,0.045968800000000004,0.0071167657151818275
115,15218,8.267935188476564,0,101,0.04594186666666667,0.011011829599738121
116,15466,26.678564338867186,4,248,0.045875733333333335,0.004128741100430489
117,15676,22.298031520507813,3,210,0.045819733333333335,0.013648450374603271
118,15790,10.612376855468751,1,114,0.045789333333333335,0.005586610641330481
119,15847,4.0439892851562504,0,57,0.045774133333333335,0.0052007813937962055
120,15948,8.293600586914062,0,101,0.0457472,0.002383887069299817
121,16049,8.495076235351558,0,101,0.04572026666666667,0.00611454714089632
122,16091,2.8932945322265637,0,42,0.04570906666666667,0.011475126259028912
123,16301,21.828657787109368,3,210,0.04565306666666667,0.0029951883479952812
124,16334,1.8402827265625001,0,33,0.04564426666666667,0.002294362522661686
125,16381,3.0422344189453128,0,47,0.045631733333333334,0.005635600537061691
126,16420,2.4594225185546867,0,39,0.04562133333333333,0.0051686521619558334
127,16594,17.54524420800782,2,174,0.04557493333333334,0.003960126079618931
128,16631,2.2768144902343748,0,37,0.04556506666666667,0.017949391156435013
129,16732,8.522807178710934,0,101,0.045538133333333335,0.0018650905694812536
130,16770,2.4836748476562502,0,38,0.045528,0.0015779419336467981
131,16881,9.124211528320314,0,111,0.0454984,0.021394269540905952
132,17239,40.64708590136719,7,358,0.04540293333333334,0.18364590406417847
133,17272,1.8627404423828127,0,33,0.045394133333333336,0.02111673913896084
134,17387,10.651075009765629,1,115,0.04536346666666667,0.0009970227256417274
135,17435,3.0318301171875,0,48,0.04535066666666667,0.0026424387469887733
136,17572,12.989881688476562,1,137,0.04531413333333334,0.010001816786825657
137,17620,3.4301904355468746,0,48,0.04530133333333333,0.006442816462367773
138,17721,7.667028478515627,0,101,0.045274400000000006,0.02000366896390915
139,17781,4.267522809570312,0,60,0.045258400000000004,0.0036103306338191032
140,17929,14.966348787109379,2,148,0.045218933333333336,0.08697804808616638
141,17992,4.521708165039064,0,63,0.04520213333333334,0.0031675363425165415
142,18041,3.5884834228515627,0,49,0.045189066666666666,0.19293846189975739
143,18271,24.979091686523425,4,230,0.045127733333333336,0.004742842633277178
144,18456,18.263616974609384,2,185,0.045078400000000005,0.004614063072949648
145,18865,47.71107784179689,9,409,0.04496933333333333,0.005952959880232811
146,19049,18.284574651367187,2,184,0.04492026666666667,0.1946263313293457
147,19203,15.45368014160157,2,154,0.0448792,0.003560479963198304
148,19243,2.5046579970703133,0,40,0.044868533333333335,0.19766488671302795
149,19287,2.942954182617188,0,44,0.0448568,0.008097696118056774
150,19591,34.21175420898437,6,304,0.04477573333333334,0.03691628575325012
151,19692,8.390001650390627,0,101,0.044748800000000005,0.01600002683699131
152,19793,8.470188853515623,0,101,0.044721866666666665,0.003601293545216322
153,19981,20.119835556640624,3,188,0.04467173333333334,0.004536664113402367
154,20096,10.17615661230469,1,115,0.044641066666666666,0.04746922478079796
155,20151,3.888256098632813,0,55,0.044626400000000004,0.008104458451271057
156,20224,5.742604816406252,0,73,0.044606933333333335,0.00905056856572628
157,20325,7.796482664062502,0,101,0.04458,0.01539936475455761
158,20437,10.464834214843757,1,112,0.04455013333333334,0.12443959712982178
159,20582,13.91716314746094,1,145,0.044511466666666666,0.0030585569329559803
160,20683,8.58563749707031,0,101,0.04448453333333334,0.017770111560821533
161,20802,11.367185781249995,1,119,0.0444528,0.37344396114349365
162,20923,11.531952783203122,1,121,0.04442053333333334,0.00285306666046381
163,21072,14.995417619140628,2,149,0.044380800000000005,0.00371363153681159
164,21103,1.7732974423828125,0,31,0.04437253333333334,0.0074440790340304375
165,21240,13.08485366992188,1,137,0.044336,0.04114523157477379
166,21501,29.047655021484392,5,261,0.044266400000000004,0.04546668380498886
167,21602,8.187388082031251,0,101,0.04423946666666667,0.005708359181880951
168,21703,7.74076271191406,0,101,0.04421253333333334,0.00644526956602931
169,21898,20.69914020410156,3,195,0.044160533333333335,0.0039286259561777115
170,22019,11.453633087890633,1,121,0.044128266666666666,0.01126512698829174
171,22250,25.29823196386721,4,231,0.04406666666666667,0.0027440900448709726
172,22428,18.03124163085938,2,178,0.0440192,0.0054672337137162685
173,22484,4.131168685546874,0,56,0.044004266666666667,0.0030177170410752296
174,22604,11.45566862207032,1,120,0.04397226666666667,0.010630853474140167
175,22660,4.185109868164064,0,56,0.043957333333333334,0.004309666808694601
176,22781,11.61530434277344,1,121,0.04392506666666667,0.00851602666079998
177,23006,24.643975561523433,4,225,0.04386506666666667,0.0019150085281580687
178,23124,11.220425169921876,1,118,0.0438336,0.012513135559856892
179,23464,38.7218653984375,7,340,0.04374293333333334,0.1939437836408615
180,23585,11.387751017578125,1,121,0.04371066666666667,0.005918131209909916
181,23622,2.2754883505859382,0,37,0.043700800000000005,0.0024878690019249916
182,23667,3.061503657226563,0,45,0.0436888,0.009322461672127247
183,23760,6.956425275390625,0,93,0.043664,0.05320241302251816
184,24026,29.690043005859376,5,266,0.043593066666666666,0.005994585808366537
185,24214,19.912626024414063,3,188,0.04354293333333334,0.11466018855571747
186,24356,13.6973721796875,1,142,0.04350506666666667,0.021173644810914993
187,24398,2.9099912402343753,0,42,0.04349386666666667,0.007407017983496189
188,24541,13.527414903320322,1,143,0.043455733333333336,0.015935176983475685
189,24575,2.0910038945312497,0,34,0.04344666666666667,0.013109814375638962
190,24897,35.913903117187516,6,322,0.043360800000000005,0.03897673264145851
191,25041,13.114337063476565,1,144,0.043322400000000004,0.1966148167848587
192,25158,10.817529025390629,1,117,0.0432912,0.0007371805841103196
193,25198,2.732092857421875,0,40,0.043280533333333336,0.01012696884572506
194,25297,8.388207289062494,0,99,0.04325413333333333,0.16751191020011902
195,25352,4.134197460937497,0,55,0.04323946666666667,0.0033390307798981667
196,25526,17.77574128320313,2,174,0.04319306666666667,0.0026867492124438286
197,25645,11.317577693359379,1,119,0.043161333333333336,0.004318941850215197
198,25686,2.7537874990234377,0,41,0.043150400000000005,0.010317066684365273
199,25841,15.623350471679686,2,155,0.04310906666666667,0.01318721380084753
200,25994,15.577883310546877,2,153,0.04306826666666667,0.0011431386228650808
201,26095,8.314795897460938,0,101,0.043041333333333334,0.0051547386683523655
202,26196,8.652333387695313,0,101,0.0430144,0.023722151294350624
203,26389,20.76258210644531,3,193,0.042962933333333335,0.12427759915590286
204,26509,11.602648828124998,1,120,0.04293093333333334,0.19597123563289642
205,26622,10.639759940429688,1,113,0.0429008,0.002231649123132229
206,26665,2.8394782421875004,0,43,0.042889333333333335,0.012024251744151115
207,26772,9.073721693359378,0,107,0.042860800000000004,0.003541337326169014
208,26801,1.6271318427734371,0,29,0.04285306666666667,0.014913821592926979
209,26956,15.649990544921884,2,155,0.04281173333333334,0.022875070571899414
210,26987,1.8416871914062507,0,31,0.04280346666666667,0.0022376091219484806
211,27016,1.6344115097656253,0,29,0.042795733333333336,0.032096054404973984
212,27196,18.241584591796872,2,180,0.042747733333333336,0.09025511890649796
213,27493,33.74964449414061,6,297,0.042668533333333335,0.009998521767556667
214,27630,13.136822364257808,1,137,0.042632,0.004785341210663319
215,27743,10.697439378906251,1,113,0.04260186666666667,0.008950397372245789
216,27861,11.013851920898437,1,118,0.0425704,0.0055673373863101006
217,27928,5.252527272460939,0,67,0.04255253333333334,0.10816673934459686
218,28083,15.936309781249996,2,155,0.0425112,0.0010217700619250536
219,28123,2.6681808691406257,0,40,0.04250053333333333,0.001970154233276844
220,28228,8.745253865234377,0,105,0.04247253333333333,0.16284340620040894
221,28261,1.9573547656250003,0,33,0.04246373333333334,0.011127397418022156
222,28313,3.87177851171875,0,52,0.04244986666666667,0.010091920383274555
223,28434,11.502135509765624,1,121,0.0424176,0.19801022112369537
224,28571,12.877037173828121,1,137,0.04238106666666667,0.04136461764574051
225,28691,11.507149013671876,1,120,0.04234906666666667,0.048760514706373215
226,28901,22.223714737304697,3,210,0.04229306666666667,0.003075565444305539
227,29021,11.422227026367189,1,120,0.042261066666666666,0.1449430137872696
228,29080,4.272575690429687,0,59,0.042245333333333336,0.01987401396036148
229,29196,11.032867250976567,1,116,0.0422144,0.023245466873049736
230,29297,8.65353734082031,0,101,0.04218746666666667,0.004223753232508898
231,29409,10.588986208007814,1,112,0.0421576,0.18442946672439575
232,29565,15.862048450195317,2,156,0.042116,0.0014733460266143084
233,29894,37.02267316308594,6,329,0.04202826666666667,0.00883780512958765
234,29997,8.61101469921875,0,103,0.042000800000000005,0.03393593803048134
235,30039,2.648022124023438,0,42,0.0419896,0.05761079117655754
236,30140,8.421819791015626,0,101,0.04196266666666667,0.04903440549969673
237,30256,10.918612896484376,1,116,0.04193173333333333,0.023670731112360954
238,30307,3.6133207138671883,0,51,0.041918133333333336,0.004891212098300457
239,30428,11.43439097070312,1,121,0.04188586666666667,0.0098455511033535
240,30576,14.769322911132818,2,148,0.041846400000000006,0.01266163494437933
241,30719,13.872475053710932,1,143,0.04180826666666667,0.07667892426252365
242,30830,9.592834333007813,0,111,0.04177866666666667,0.0033799849916249514
243,30967,13.103764692382818,1,137,0.041742133333333334,0.0015568170929327607
244,31081,10.79277849707032,1,114,0.041711733333333334,0.004081204533576965
245,31202,11.54476519140625,1,121,0.04167946666666667,0.0027528698556125164
246,31317,10.93161423535157,1,115,0.0416488,0.005265296436846256
247,31437,11.518450390625008,1,120,0.0416168,0.036155834794044495
248,31574,13.095615378906249,1,137,0.04158026666666667,0.0072363088838756084
249,31711,13.016385494140621,1,137,0.04154373333333333,0.0029111963231116533
250,32224,59.96671418066409,11,513,0.04140693333333334,0.19796229898929596
251,32455,24.837919221679687,4,231,0.04134533333333333,0.006973813287913799
252,32567,10.737738771484372,1,112,0.04131546666666667,0.0048348852433264256
253,32609,2.842753348632813,0,42,0.04130426666666667,0.1831503063440323
254,32710,8.336533305664062,0,101,0.04127733333333333,0.22342385351657867
255,32738,1.5056102060546874,0,28,0.04126986666666667,0.007691587787121534
256,33031,32.240472046875006,5,293,0.041191733333333334,0.005260641686618328
257,33094,4.459883068359375,0,63,0.04117493333333334,0.01014369074255228
258,33126,1.9657030966796873,0,32,0.041166400000000006,0.0035918327048420906
259,33245,11.304732432617188,1,119,0.04113466666666667,0.006608904339373112
260,33366,11.646702625976566,1,121,0.041102400000000004,0.011477929539978504
261,33521,15.853226323242186,2,155,0.041061066666666673,0.0016902878414839506
262,33658,12.963869442382817,1,137,0.041024533333333335,0.15830031037330627
263,33764,8.81931656738281,0,106,0.04099626666666667,0.035299208015203476
264,33795,1.8067232636718749,0,31,0.040988000000000004,0.006066830363124609
265,33901,8.878745041992191,0,106,0.04095973333333334,0.00670617027208209
266,34238,38.60870300683593,7,337,0.04086986666666667,0.0070042856968939304
